query_terms	preference_comparison	preference_judgment
volcano new zealand	text_corrected vs. text_metadata	corrected
volcano new zealand	text_corrected vs. text_metadata	corrected
volcano new zealand	text_corrected vs. text_metadata	corrected
volcano new zealand	text_corrected vs. text_metadata	corrected
volcano new zealand	text_corrected vs. text_metadata	corrected
ebola australia	text_corrected vs. text_metadata	corrected
ebola australia	text_corrected vs. text_metadata	corrected
ebola australia	text_corrected vs. text_metadata	metadata
ebola australia	text_corrected vs. text_metadata	No preference
ebola australia	text_corrected vs. text_metadata	corrected
asylum seekers Immigration	text_corrected vs. text_metadata	metadata
asylum seekers Immigration	text_corrected vs. text_metadata	metadata
asylum seekers Immigration	text_corrected vs. text_metadata	metadata
asylum seekers Immigration	text_corrected vs. text_metadata	No preference
asylum seekers Immigration	text_corrected vs. text_metadata	metadata
child sex abuse sydney school	text_corrected vs. text_metadata	corrected
child sex abuse sydney school	text_corrected vs. text_metadata	metadata
child sex abuse sydney school	text_corrected vs. text_metadata	metadata
child sex abuse sydney school	text_corrected vs. text_metadata	corrected
child sex abuse sydney school	text_corrected vs. text_metadata	No preference
child sex abuse sydney school	text_corrected vs. text_metadata	metadata
Renewable Energy Target	text_corrected vs. text_metadata	metadata
Renewable Energy Target	text_corrected vs. text_metadata	corrected
Renewable Energy Target	text_corrected vs. text_metadata	corrected
Renewable Energy Target	text_corrected vs. text_metadata	No preference
Renewable Energy Target	text_corrected vs. text_metadata	corrected
Renewable Energy Target	text_corrected vs. text_metadata	corrected
Renewable Energy Target	text_corrected vs. text_metadata	corrected
air attack to islamic state	text_corrected vs. text_metadata	corrected
air attack to islamic state	text_corrected vs. text_metadata	corrected
air attack to islamic state	text_corrected vs. text_metadata	corrected
air attack to islamic state	text_corrected vs. text_metadata	corrected
air attack to islamic state	text_corrected vs. text_metadata	corrected
productivity commission's reportÂ childcare system	text_corrected vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_corrected vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_corrected vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_corrected vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_corrected vs. text_metadata	metadata
productivity commission's reportÂ childcare system	text_corrected vs. text_metadata	corrected
floral tribute martin place	text_corrected vs. text_metadata	metadata
floral tribute martin place	text_corrected vs. text_metadata	metadata
floral tribute martin place	text_corrected vs. text_metadata	metadata
floral tribute martin place	text_corrected vs. text_metadata	corrected
floral tribute martin place	text_corrected vs. text_metadata	metadata
floral tribute martin place	text_corrected vs. text_metadata	metadata
floral tribute martin place	text_corrected vs. text_metadata	No preference
free trade china australia	text_corrected vs. text_metadata	corrected
free trade china australia	text_corrected vs. text_metadata	corrected
free trade china australia	text_corrected vs. text_metadata	corrected
free trade china australia	text_corrected vs. text_metadata	corrected
free trade china australia	text_corrected vs. text_metadata	No preference
malcolm fraser died	text_corrected vs. text_metadata	metadata
malcolm fraser died	text_corrected vs. text_metadata	No preference
malcolm fraser died	text_corrected vs. text_metadata	corrected
malcolm fraser died	text_corrected vs. text_metadata	metadata
malcolm fraser died	text_corrected vs. text_metadata	metadata
malcolm fraser died	text_corrected vs. text_metadata	corrected
malcolm fraser died	text_corrected vs. text_metadata	No preference
australian arrested in bali to be executed	text_corrected vs. text_metadata	corrected
australian arrested in bali to be executed	text_corrected vs. text_metadata	corrected
australian arrested in bali to be executed	text_corrected vs. text_metadata	corrected
australian arrested in bali to be executed	text_corrected vs. text_metadata	metadata
australian arrested in bali to be executed	text_corrected vs. text_metadata	metadata
aboriginal women died police custody	text_corrected vs. text_metadata	corrected
aboriginal women died police custody	text_corrected vs. text_metadata	corrected
aboriginal women died police custody	text_corrected vs. text_metadata	corrected
aboriginal women died police custody	text_corrected vs. text_metadata	corrected
aboriginal women died police custody	text_corrected vs. text_metadata	corrected
aboriginal women died police custody	text_corrected vs. text_metadata	corrected
cuba america re-establishing diplomatic relations 	text_corrected vs. text_metadata	corrected
cuba america re-establishing diplomatic relations 	text_corrected vs. text_metadata	metadata
cuba america re-establishing diplomatic relations 	text_corrected vs. text_metadata	corrected
cuba america re-establishing diplomatic relations 	text_corrected vs. text_metadata	corrected
cuba america re-establishing diplomatic relations 	text_corrected vs. text_metadata	No preference
Royal commission Mangrove Mountain Yoga Ashram	text_corrected vs. text_metadata	metadata
Royal commission Mangrove Mountain Yoga Ashram	text_corrected vs. text_metadata	corrected
Royal commission Mangrove Mountain Yoga Ashram	text_corrected vs. text_metadata	corrected
Royal commission Mangrove Mountain Yoga Ashram	text_corrected vs. text_metadata	No preference
Royal commission Mangrove Mountain Yoga Ashram	text_corrected vs. text_metadata	metadata
News Corp Nova Peris leaked email	text_corrected vs. text_metadata	corrected
News Corp Nova Peris leaked email	text_corrected vs. text_metadata	No preference
News Corp Nova Peris leaked email	text_corrected vs. text_metadata	metadata
News Corp Nova Peris leaked email	text_corrected vs. text_metadata	corrected
News Corp Nova Peris leaked email	text_corrected vs. text_metadata	metadata
News Corp Nova Peris leaked email	text_corrected vs. text_metadata	corrected
Freedom Ride Perkins	text_corrected vs. text_metadata	metadata
Freedom Ride Perkins	text_corrected vs. text_metadata	corrected
Freedom Ride Perkins	text_corrected vs. text_metadata	corrected
Freedom Ride Perkins	text_corrected vs. text_metadata	metadata
Freedom Ride Perkins	text_corrected vs. text_metadata	No preference
Children in immigration detention centers australia	text_corrected vs. text_metadata	metadata
Children in immigration detention centers australia	text_corrected vs. text_metadata	metadata
Children in immigration detention centers australia	text_corrected vs. text_metadata	corrected
Children in immigration detention centers australia	text_corrected vs. text_metadata	corrected
Children in immigration detention centers australia	text_corrected vs. text_metadata	corrected
Children in immigration detention centers australia	text_corrected vs. text_metadata	No preference
Inflamatory deseases university of queensland treatment breakthrough	text_corrected vs. text_metadata	corrected
Inflamatory deseases university of queensland treatment breakthrough	text_corrected vs. text_metadata	corrected
Inflamatory deseases university of queensland treatment breakthrough	text_corrected vs. text_metadata	corrected
Inflamatory deseases university of queensland treatment breakthrough	text_corrected vs. text_metadata	corrected
Inflamatory deseases university of queensland treatment breakthrough	text_corrected vs. text_metadata	corrected
IS extremists Kobane US airstrikes	text_corrected vs. text_metadata	corrected
IS extremists Kobane US airstrikes	text_corrected vs. text_metadata	metadata
IS extremists Kobane US airstrikes	text_corrected vs. text_metadata	metadata
IS extremists Kobane US airstrikes	text_corrected vs. text_metadata	metadata
IS extremists Kobane US airstrikes	text_corrected vs. text_metadata	No preference
Jim Byrnes trade union commision	text_corrected vs. text_metadata	metadata
Jim Byrnes trade union commision	text_corrected vs. text_metadata	metadata
Jim Byrnes trade union commision	text_corrected vs. text_metadata	metadata
Jim Byrnes trade union commision	text_corrected vs. text_metadata	metadata
Jim Byrnes trade union commision	text_corrected vs. text_metadata	metadata
Sex abuse New Sounth Wales ashram	text_corrected vs. text_metadata	corrected
Sex abuse New Sounth Wales ashram	text_corrected vs. text_metadata	corrected
Sex abuse New Sounth Wales ashram	text_corrected vs. text_metadata	corrected
Sex abuse New Sounth Wales ashram	text_corrected vs. text_metadata	corrected
Sex abuse New Sounth Wales ashram	text_corrected vs. text_metadata	corrected
Tony Abbott offending indigenous people	text_corrected vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_corrected vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_corrected vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_corrected vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_corrected vs. text_metadata	corrected
Dog show Crufts controversy	text_corrected vs. text_metadata	metadata
Dog show Crufts controversy	text_corrected vs. text_metadata	metadata
Dog show Crufts controversy	text_corrected vs. text_metadata	metadata
Dog show Crufts controversy	text_corrected vs. text_metadata	corrected
Dog show Crufts controversy	text_corrected vs. text_metadata	metadata
Black Saturday AusNet payout	text_corrected vs. text_metadata	corrected
Black Saturday AusNet payout	text_corrected vs. text_metadata	metadata
Black Saturday AusNet payout	text_corrected vs. text_metadata	corrected
Black Saturday AusNet payout	text_corrected vs. text_metadata	corrected
Black Saturday AusNet payout	text_corrected vs. text_metadata	corrected
Black Saturday AusNet payout	text_corrected vs. text_metadata	corrected
Black Saturday AusNet payout	text_corrected vs. text_metadata	corrected
Germanwings Andreas Lubitz	text_corrected vs. text_metadata	metadata
Germanwings Andreas Lubitz	text_corrected vs. text_metadata	metadata
Germanwings Andreas Lubitz	text_corrected vs. text_metadata	corrected
Germanwings Andreas Lubitz	text_corrected vs. text_metadata	No preference
Germanwings Andreas Lubitz	text_corrected vs. text_metadata	metadata
heart transplant of stopped heart	text_corrected vs. text_metadata	metadata
heart transplant of stopped heart	text_corrected vs. text_metadata	metadata
heart transplant of stopped heart	text_corrected vs. text_metadata	metadata
heart transplant of stopped heart	text_corrected vs. text_metadata	metadata
heart transplant of stopped heart	text_corrected vs. text_metadata	corrected
ABS accepts recommendations	text_corrected vs. text_metadata	metadata
ABS accepts recommendations	text_corrected vs. text_metadata	corrected
ABS accepts recommendations	text_corrected vs. text_metadata	metadata
ABS accepts recommendations	text_corrected vs. text_metadata	metadata
ABS accepts recommendations	text_corrected vs. text_metadata	metadata
interest rate cuts	text_corrected vs. text_metadata	corrected
interest rate cuts	text_corrected vs. text_metadata	corrected
interest rate cuts	text_corrected vs. text_metadata	corrected
interest rate cuts	text_corrected vs. text_metadata	corrected
interest rate cuts	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	No preference
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	No preference
financial dealing of west australian minister	text_corrected vs. text_metadata	corrected
bangkok bombing	text_corrected vs. text_metadata	metadata
bangkok bombing	text_corrected vs. text_metadata	corrected
bangkok bombing	text_corrected vs. text_metadata	metadata
bangkok bombing	text_corrected vs. text_metadata	corrected
bangkok bombing	text_corrected vs. text_metadata	metadata
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	No preference
hospital bed shortage adelaide	text_corrected vs. text_metadata	corrected
hospital bed shortage adelaide	text_corrected vs. text_metadata	No preference
hospital bed shortage adelaide	text_corrected vs. text_metadata	metadata
hospital bed shortage adelaide	text_corrected vs. text_metadata	corrected
hospital bed shortage adelaide	text_corrected vs. text_metadata	corrected
hospital bed shortage adelaide	text_corrected vs. text_metadata	No preference
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	No preference
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	metadata
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse	text_corrected vs. text_metadata	No preference
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	metadata
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	No preference
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	corrected
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	No preference
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata