query_id	query_terms
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong
0_25a915104acccd25bcd43d5b156c9352	asylum seekers Immigration
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school
2_8acc3baddf24bd35dc84e85d05eb82ab	northern territory chief minister dumped
1_44c470d65e4a90be63e4f0ceccf44baf	Tony Abbott offending indigenous people
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church
0_21fd85b5c79f7ee0a7e6880b5d05659d	ebola australia
0_82c5e5c185ebe7d826354ea6052c13f3	free trade china australia
3_7f3e8b1c70b3d4b2b322b25bf8bf66d7	Israel Palastine tension worship at Al Asqa Jordan diplomat
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target
0_10ae5555a29c8e9f0b34a2926f6f8787	volcano new zealand
1_14ff8468fd07e6cc54f7a403d2035123	Royal commission Mangrove Mountain Yoga Ashram
0_57b29d35db9dd8080866d86ea449503c	air attack to islamic state
2_35ef5d8328471088f076ac0b58fc3981	interest rate cuts
1_16a4810341caf97c4dd9d5a89d89479a	News Corp Nova Peris leaked email
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia
0_9fdefc69c873cc40ae669162500ce907	malcolm fraser died
3_38099afc5500bf2361a91e5761557ad2	US police shoot 12 year old boy toy gun
0_5f7f3b29f264023e003de0db4a787e40	productivity commission's report childcare system
0_a6d7e7357dcdc4c796a1e7409a2f18c7	australian arrested in bali to be executed
2_6fb77da40736a0ad269525fbbe27cf08	bangkok bombing
1_16a5aeb80231da572d417ad1a5fadfe7	Freedom Ride Perkins
1_d1395e9b76ef39fe30593feed32cf9c0	Germanwings Andreas Lubitz
1_2fb5e2affb90eae4a57febcfe4e7c892	Jim Byrnes trade union commision
3_e2785af27cc60248f882022fe3e474a0	protest vote against gold company executive pay
3_ee574969e572723d870fa773dc11dad3	trade union royal commission report released Gillard CFMEU
2_2c44410773b903bb460bdb70df79e673	heart transplant of stopped heart
0_d1f9529b34d64e348705f0f0b9a30d10	aboriginal women died police custody
2_b99feeb38be53d1090f6022b770ddee1	adelaide fringe festival
0_7651ce82f1625db7a03974e5f6d47a66	floral tribute martin place
2_aa5f28277aff96ab167725128252d7fe	hospital bed shortage adelaide
2_33e6d6777f3f00bcab0618de79c1ef89	ABS accepts recommendations
0_e7a6840bd6e9e54811331e097a55e9d0	cuba america re-establishing diplomatic relations
3_7a82939469671ecb72cd20641459fc67	Kim Jong-un 69th anniversary of the ruling Workers' Party
1_68553637fbdd970354aa3ab696199d86	Dog show Crufts controversy
1_7b62064f74efab3b08e799921e33cd07	Black Saturday AusNet payout
3_4b0cd3497690108467b59635b8b674d4	Clive James poetry new book voice Japanese Maple